cidades;cep
Nhamunda;69140-000 a 69149-999
Nova Olinda do Norte;69230-000 a 69239-999
Novo Airao;69730-000 a 69734-999
Novo Aripuana;69260-000 a 69264-999
Parintins;69150-001 a 69159-999
Parintins;69150-001 a 69157-999
Pauini;69860-000 a 69869-999
Presidente Figueiredo;69735-000 a 69739-999
Rio Preto da Eva;69117-000 a 69119-999
Santa Isabel do Rio Negro;69740-000 a 69749-999
Santo Antonio do Ica;69680-000 a 69684-999
Silves;69114-000 a 69116-999
Sao Gabriel da Cachoeira;69750-000 a 69799-999
Sao Paulo de Olivenca;69600-000 a 69619-999
Sao Sebastiao do Uatuma;69135-000 a 69139-999
Tabatinga;69640-000 a 69649-999
Tapaua;69480-000 a 69484-999
Tefe;69550-001 a 69559-999
Tefe;69550-001 a 69558-999
Tonantins;69685-000 a 69699-999
Uarini;69530-000 a 69539-999
Urucara;69130-000 a 69134-999
Urucurituba;69180-000 a 69189-999
Amapa;68950-000 a 68959-999
Calcoene;68960-000 a 68972-999
Cutias;68973-000 a 68975-999
Ferreira Gomes;68915-000 a 68917-999
Itaubal;68976-000 a 68979-999
Laranjal do Jari;68920-000 a 68923-999
Macapa;68900-001 a 68914-999
Macapa;68900-001 a 68911-999
Mazagao;68940-000 a 68944-999
Oiapoque;68980-000 a 68989-999
Pedra Branca do Amapari;68945-000 a 68947-999
Porto Grande;68997-000 a 68999-999
Pracuuba;68918-000 a 68919-999
Santana;68925-001 a 68939-999
Serra do Navio;68948-000 a 68949-999
Tartarugalzinho;68990-000 a 68996-999
Vitoria do Jari;68924-000 a 68924-999
Abare;48680-000 a 48699-999
Abaira;46690-000 a 46699-999
Acajutiba;48360-000 a 48369-999
Adustina;48435-000 a 48439-999
Aiquara;45220-000 a 45224-999
Alagoinhas;48000-001 a 48107-999
Alagoinhas;48000-001 a 48024-999
Alcobaca;45910-000 a 45919-999
Almadina;45640-000 a 45644-999
Amargosa;45300-000 a 45304-999
Amelia Rodrigues;44230-000 a 44244-999
America Dourada;44910-000 a 44914-999
Anage;45180-000 a 45189-999
Andarai;46830-000 a 46834-999
Andorinha;48990-000 a 48999-999
Angical;47960-000 a 47969-999
Anguera;44670-000 a 44679-999
Antas;48420-000 a 48429-999
Antonio Cardoso;44180-000 a 44189-999
Antonio Goncalves;44780-000 a 44789-999
Apora;48350-000 a 48359-999
Apuarema;45355-000 a 45359-999
Aracatu;46130-000 a 46139-999
Araci;48760-000 a 48769-999
Aramari;48130-000 a 48139-999
Arataca;45695-000 a 45699-999
Aratuipe;44490-000 a 44499-999
Aracas;48108-000 a 48109-999
Aurelino Leal;45675-000 a 45679-999
Baianopolis;47830-000 a 47844-999
Baixa Grande;44620-000 a 44629-999
Banzae;48405-000 a 48409-999
Barra;47100-000 a 47114-999
Barra da Estiva;46650-000 a 46669-999
Barra do Choca;45120-000 a 45129-999
Barra do Mendes;44990-000 a 44999-999
Barra do Rocha;45560-000 a 45569-999
Barreiras;47800-001 a 47819-999
Barro Alto;44895-000 a 44899-999
Barro Preto;45625-000 a 45629-999
Barrocas;48705-000 a 48709-999
Belmonte;45800-000 a 45806-999
Belo Campo;45160-000 a 45169-999
Biritinga;48780-000 a 48789-999
Boa Nova;45250-000 a 45254-999
Boa Vista do Tupim;46850-000 a 46859-999
Bom Jesus da Lapa;47600-000 a 47609-999
Bom Jesus da Serra;45263-000 a 45264-999
Boninal;46740-000 a 46749-999
Bonito;46820-000 a 46824-999
Boquira;46530-000 a 46539-999
Botupora;46570-000 a 46574-999
Brejolandia;47750-000 a 47759-999
Brejoes;45325-000 a 45329-999
Brotas de Macaubas;47560-000 a 47579-999
Brumado;46100-000 a 46109-999
Buerarema;45615-000 a 45619-999
Buritirama;47120-000 a 47149-999
Caatiba;45130-000 a 45139-999
Cabaceiras do ParAguacu;44345-000 a 44349-999
Cachoeira;44300-000 a 44319-999
Cacule;46300-000 a 46309-999
Caetanos;45265-000 a 45269-999
Caetite;46400-000 a 46424-999
Cafarnaum;44880-000 a 44884-999
Cairu;45420-000 a 45429-999
Caldeirao Grande;44750-000 a 44754-999
Camacan;45880-000 a 45889-999
Camamu;45445-000 a 45449-999
Camacari;42800-001 a 42849-999
Campo Alegre de Lourdes;47220-000 a 47239-999
Campo Formoso;44790-000 a 44797-999
Canarana;44890-000 a 44894-999
Canavieiras;45860-000 a 45864-999
Candeal;48710-000 a 48719-999
Candeias;43800-001 a 43849-999
Candeias;43800-001 a 43839-999
Candiba;46380-000 a 46389-999
Cansancao;48840-000 a 48849-999
Canudos;48520-000 a 48539-999
Canapolis;47730-000 a 47739-999
Capela do Alto Alegre;44645-000 a 44649-999
Capim Grosso;44695-000 a 44697-999
Caravelas;45900-000 a 45909-999
Caraibas;45177-000 a 45179-999
Cardeal da Silva;48390-000 a 48399-999
Carinhanha;46445-000 a 46445-999
Casa Nova;47300-000 a 47349-999
Castro Alves;44500-000 a 44519-999
Catolandia;47845-000 a 47849-999
Catu;48110-000 a 48119-999
Caturama;46575-000 a 46579-999
Caem;44730-000 a 44739-999
Central;44940-000 a 44949-999
Chorrocho;48660-000 a 48679-999
Cipo;48450-000 a 48454-999
Coaraci;45638-000 a 45639-999
Cocos;47680-000 a 47689-999
Conceicao da Feira;44320-000 a 44329-999
Conceicao do Almeida;44540-000 a 44549-999
Conceicao do Coite;48730-000 a 48749-999
Conceicao do Jacuipe;44245-000 a 44249-999
Conde;48300-000 a 48309-999
Condeuba;46200-000 a 46204-999
Contendas do Sincora;46620-000 a 46639-999
Coracao de Maria;44250-000 a 44254-999
Cordeiros;46280-000 a 46289-999
Coribe;47690-000 a 47699-999
Coronel Joao Sa;48590-000 a 48599-999
Correntina;47650-000 a 47654-999
Cotegipe;47900-000 a 47939-999
Cravolandia;45330-000 a 45339-999
Cristopolis;47950-000 a 47959-999
Crisopolis;48480-000 a 48484-999
Cruz das Almas;44380-000 a 44399-999
Curaca;48930-000 a 48949-999
Candido Sales;45157-000 a 45159-999
Cicero Dantas;48410-000 a 48414-999
Dias D'avila;42850-000 a 43699-999
Dom Basilio;46165-000 a 46169-999
Dom Macedo Costa;44560-000 a 44564-999
Dario Meira;45590-000 a 45599-999
Elisio Medrado;45305-000 a 45309-999
Encruzilhada;45150-000 a 45154-999
Entre Rios;48180-000 a 48279-999
Esplanada;48370-000 a 48389-999
Euclides da Cunha;48500-000 a 48519-999
Eunapolis;45820-001 a 45833-999
Eunapolis;45820-001 a 45831-999
Feira da Mata;46446-000 a 46449-999
Feira de Santana;44000-001 a 44149-999
Feira de Santana;44000-001 a 44099-999
Filadelfia;44775-000 a 44779-999
Firmino Alves;45720-000 a 45724-999
Floresta Azul;45740-000 a 45744-999
Formosa do Rio Preto;47990-000 a 47999-999
Fatima;48415-000 a 48419-999
Gandu;45450-000 a 45451-999
Gaviao;44650-000 a 44654-999
Gentio do Ouro;47450-000 a 47499-999
Gloria;48620-000 a 48629-999
Gongogi;45540-000 a 45544-999
Governador Mangabeira;44350-000 a 44359-999
Guajeru;46205-000 a 46219-999
Guanambi;46430-000 a 46437-999
Guaratinga;45840-000 a 45847-999
Heliopolis;48445-000 a 48449-999
Iacu;46860-000 a 46874-999
Ibiassuce;46390-000 a 46399-999
Ibicarai;45745-000 a 45749-999
Ibicoara;46760-000 a 46764-999
Ibicui;45290-000 a 45299-999
Ibipeba;44970-000 a 44989-999
Ibipitanga;46540-000 a 46549-999
Ibiquera;46840-000 a 46849-999
Ibirapitanga;45500-000 a 45519-999
Ibirapua;45940-000 a 45949-999
Ibirataia;45580-000 a 45584-999
Ibitiara;46700-000 a 46729-999
Ibitita;44960-000 a 44969-999
Ibotirama;47520-000 a 47529-999
Ichu;48725-000 a 48729-999
Igapora;46490-000 a 46499-999
Igrapiuna;45443-000 a 45444-999
Iguai;45280-000 a 45289-999
Ilheus;45650-001 a 45674-999
Ilheus;45650-001 a 45662-999
Inhambupe;48490-000 a 48499-999
Ipecaeta;44680-000 a 44689-999
Ipiau;45570-000 a 45579-999
Ipira;44600-000 a 44609-999
Ipupiara;47590-000 a 47599-999
Irajuba;45370-000 a 45374-999
Iramaia;46770-000 a 46779-999
Iraquara;46980-000 a 46989-999
Irara;44255-000 a 44259-999
Irece;44900-000 a 44904-999
Itabela;45848-000 a 45849-999
Itaberaba;46880-000 a 46899-999
Itabuna;45600-001 a 45614-999
Itacare;45530-000 a 45539-999
Itaete;46790-000 a 46799-999
Itagi;45230-000 a 45239-999
Itagiba;45585-000 a 45589-999
Itagimirim;45850-000 a 45854-999
ItAguacu da Bahia;47440-000 a 47449-999
Itaju do Colonia;45730-000 a 45739-999
Itajuipe;45630-000 a 45637-999
Itamaraju;45836-000 a 45839-999
Itamari;45455-000 a 45459-999
Itambe;45140-000 a 45149-999
Itanagra;48290-000 a 48299-999
Itanhem;45970-000 a 45979-999
Itaparica;44460-000 a 44469-999
Itapebi;45855-000 a 45859-999
Itapetinga;45700-000 a 45709-999
Itapicuru;48475-000 a 48479-999
Itapitanga;45645-000 a 45649-999
Itape;45750-000 a 45759-999
Itaquara;45340-000 a 45344-999
Itarantim;45780-000 a 45789-999
Itatim;46875-000 a 46879-999
Itirucu;45350-000 a 45354-999
Itiuba;48850-000 a 48859-999
Itororo;45710-000 a 45719-999
Ituacu;46640-000 a 46649-999
Itubera;45435-000 a 45435-999
Iuiu;46438-000 a 46439-999
Jaborandi;47655-000 a 47664-999
Jacaraci;46310-000 a 46329-999
Jacobina;44700-000 a 44709-999
JAguaquara;45345-000 a 45349-999
JAguarari;48960-000 a 48969-999
JAguaripe;44480-000 a 44489-999
Jandaira;48310-000 a 48329-999
Jequie;45200-001 a 45214-999
Jequie;45200-001 a 45211-999
Jeremoabo;48540-000 a 48564-999
Jiquirica;45470-000 a 45479-999
Jitauna;45225-000 a 45229-999
Joao Dourado;44920-000 a 44924-999
Juazeiro;48900-001 a 48924-999
Juazeiro;48900-001 a 48920-999
Jucurucu;45834-000 a 45835-999
Jussara;44925-000 a 44929-999
Jussari;45622-000 a 45624-999
Jussiape;46670-000 a 46689-999
Lafaiete Coutinho;45215-000 a 45219-999
Lagoa Real;46425-000 a 46429-999
Laje;45490-000 a 45499-999
Lajedinho;46825-000 a 46829-999
Lajedo do Tabocal;45365-000 a 45369-999
Lajedao;45950-000 a 45954-999
Lamarao;48720-000 a 48724-999
Lapao;44905-000 a 44909-999
Lauro de Freitas;42700-001 a 42799-999
Lauro de Freitas;42700-001 a 42749-999
Lencois;46960-000 a 46969-999
Licinio de Almeida;46330-000 a 46349-999
Livramento de Nossa Senhora;46140-000 a 46164-999
Luis Eduardo Magalhaes;47850-000 a 47859-999
Macajuba;46805-000 a 46809-999
Macarani;45760-000 a 45769-999
Macaubas;46500-000 a 46529-999
Macurure;48650-000 a 48659-999
Madre de Deus;42600-000 a 42699-999
Maetinga;46255-000 a 46269-999
Maiquinique;45770-000 a 45779-999
Mairi;44630-000 a 44634-999
Malhada;46440-000 a 46444-999
Malhada de Pedras;46110-000 a 46129-999
Manoel Vitorino;45240-000 a 45249-999
Mansidao;47160-000 a 47199-999
Maracas;45360-000 a 45364-999
Maragogipe;44420-000 a 44429-999
Marau;45520-000 a 45529-999
Marcionilio Souza;46780-000 a 46789-999
Mascote;45870-000 a 45879-999
Mata de Sao Joao;48280-000 a 48289-999
Matina;46480-000 a 46489-999
Medeiros Neto;45960-000 a 45969-999
Miguel Calmon;44720-000 a 44729-999
Milagres;45315-000 a 45319-999
Mirangaba;44745-000 a 44749-999
Mirante;45255-000 a 45259-999
Monte Santo;48800-000 a 48829-999
Morpara;47580-000 a 47589-999
Morro do Chapeu;44850-000 a 44879-999
Mortugaba;46290-000 a 46299-999
Mucuge;46750-000 a 46759-999
Mucuri;45930-000 a 45939-999
Mulungu do Morro;44885-000 a 44889-999
Mundo Novo;44800-000 a 44829-999
Muniz Ferreira;44575-000 a 44579-999
Muquem de Sao Francisco;47115-000 a 47119-999
Muritiba;44340-000 a 44344-999
Mutuipe;45480-000 a 45489-999
Nazare;44400-000 a 44419-999
Nilo Pecanha;45440-000 a 45442-999
Nordestina;48870-000 a 48879-999
Nova Canaa;45270-000 a 45279-999
Nova Fatima;44642-000 a 44644-999
Nova Ibia;45452-000 a 45454-999
Nova Itarana;45390-000 a 45399-999
Nova Redencao;46835-000 a 46839-999
Nova Soure;48460-000 a 48469-999
Nova Vicosa;45920-000 a 45929-999
Novo Horizonte;46730-000 a 46739-999
Novo Triunfo;48455-000 a 48459-999
Olindina;48470-000 a 48474-999
Oliveira dos Brejinhos;47530-000 a 47559-999
Ouricangas;48150-000 a 48169-999
Ourolandia;44718-000 a 44719-999
Palmas de Monte Alto;46460-000 a 46469-999
Palmeiras;46930-000 a 46959-999
Paramirim;46190-000 a 46199-999
Paratinga;47500-000 a 47519-999
Paripiranga;48430-000 a 48434-999
Pau Brasil;45890-000 a 45899-999
Paulo Afonso;48600-001 a 48619-999
Pedro Alexandre;48580-000 a 48589-999
Pedrao;48140-000 a 48149-999
Piata;46765-000 a 46769-999
Pilao Arcado;47240-000 a 47299-999
Pindai;46360-000 a 46379-999
Pindobacu;44770-000 a 44774-999
Pintadas;44610-000 a 44619-999
Pirai do Norte;45436-000 a 45439-999
Piripa;46270-000 a 46279-999
Piritiba;44830-000 a 44839-999
Planaltino;45375-000 a 45389-999
Planalto;45190-000 a 45199-999
Pojuca;48120-000 a 48129-999
Ponto Novo;44755-000 a 44769-999
Porto Seguro;45810-000 a 45819-999
PotirAgua;45790-000 a 45799-999
Pocoes;45260-000 a 45262-999
Prado;45980-000 a 45984-999
Presidente Dutra;44930-000 a 44939-999
Presidente Janio Quadros;46250-000 a 46254-999
Presidente Tancredo Neves;45416-000 a 45419-999
Pe de Serra;44655-000 a 44659-999
Queimadas;48860-000 a 48869-999
Quijingue;48830-000 a 48839-999
Quixabeira;44713-000 a 44714-999
Rafael Jambeiro;44520-000 a 44529-999
Remanso;47200-000 a 47219-999
Retirolandia;48750-000 a 48759-999
Riacho de Santana;46470-000 a 46479-999
Riachao das Neves;47970-000 a 47989-999
Riachao do Jacuipe;44640-000 a 44641-999
Ribeira do Amparo;48440-000 a 48444-999
Ribeira do Pombal;48400-000 a 48404-999
Ribeirao do Largo;45155-000 a 45156-999
Rio Real;48330-000 a 48349-999
Rio de Contas;46170-000 a 46179-999
Rio do Antonio;46220-000 a 46249-999
Rio do Pires;46550-000 a 46569-999
Rodelas;48630-000 a 48649-999
Ruy Barbosa;46800-000 a 46804-999
Salinas da Margarida;44450-000 a 44459-999
Salvador;40000-001 a 42599-999
Santa Brigida;48570-000 a 48579-999
Santa Barbara;44150-000 a 44159-999
Santa Cruz Cabralia;45807-000 a 45809-999
Santa Cruz da Vitoria;45725-000 a 45729-999
Santa Ines;45320-000 a 45324-999
Santa Luzia;45865-000 a 45869-999
Santa Maria da Vitoria;47640-000 a 47649-999
Santa Rita de Cassia;47150-000 a 47159-999
Santa Teresinha;44590-000 a 44599-999
Santaluz;48880-000 a 48889-999
Santana;47700-000 a 47729-999
Santanopolis;44260-000 a 44269-999
Santo Amaro;44200-000 a 44219-999
Santo Antonio de Jesus;44430-001 a 44449-999
Santo Antonio de Jesus;44430-001 a 44447-999
Santo Estevao;44190-000 a 44199-999
Sapeacu;44530-000 a 44539-999
Saubara;44220-000 a 44229-999
Saude;44740-000 a 44744-999
Seabra;46900-000 a 46929-999
Sebastiao Laranjeiras;46450-000 a 46459-999
Senhor do Bonfim;48970-000 a 48989-999
Sento Se;47350-000 a 47399-999
Serra Dourada;47740-000 a 47749-999
Serra Preta;44660-000 a 44669-999
Serra do Ramalho;47630-000 a 47639-999
Serrinha;48700-000 a 48704-999
Serrolandia;44710-000 a 44712-999
Simoes Filho;43700-000 a 43799-999
Sobradinho;48925-000 a 48929-999
Souto Soares;46990-000 a 47099-999
Satiro Dias;48485-000 a 48489-999
Sao Desiderio;47820-000 a 47829-999
Sao Domingos;48895-000 a 48899-999
Sao Felipe;44550-000 a 44559-999
Sao Francisco do Conde;43900-000 a 43999-999
Sao Felix;44360-000 a 44379-999
Sao Felix do Coribe;47665-000 a 47679-999
Sao Gabriel;44915-000 a 44919-999
Sao Goncalo dos Campos;44330-000 a 44339-999
Sao Jose da Vitoria;45620-000 a 45621-999
Sao Jose do Jacuipe;44698-000 a 44699-999
Sao Miguel das Matas;44580-000 a 44589-999
Sao Sebastiao do Passe;43850-000 a 43899-999
Sitio do Mato;47610-000 a 47629-999
Sitio do Quinto;48565-000 a 48569-999
Tabocas do Brejo Velho;47760-000 a 47799-999
Tanhacu;46600-000 a 46619-999
Tanque Novo;46580-000 a 46599-999
Tanquinho;44160-000 a 44179-999
Taperoa;45430-000 a 45434-999
Tapiramuta;44840-000 a 44849-999
Teixeira de Freitas;45985-001 a 45999-999
Teixeira de Freitas;45985-001 a 45996-999
Teodoro Sampaio;44280-000 a 44299-999
Teofilandia;48770-000 a 48779-999
Teolandia;45465-000 a 45469-999
Terra Nova;44270-000 a 44279-999
Tremedal;45170-000 a 45176-999
Tucano;48790-000 a 48799-999
Uaua;48950-000 a 48959-999
Ubaitaba;45545-000 a 45549-999
Ubata;45550-000 a 45559-999
Ubaira;45310-000 a 45314-999
Uibai;44950-000 a 44959-999
Umburanas;44798-000 a 44799-999
Una;45690-000 a 45694-999
Urandi;46350-000 a 46359-999
Urucuca;45680-000 a 45689-999
Utinga;46810-000 a 46819-999
Valente;48890-000 a 48894-999
Valenca;45400-000 a 45415-999
Varzedo;44565-000 a 44569-999
Vera Cruz;44470-000 a 44479-999
Vereda;45955-000 a 45959-999
Vitoria da Conquista;45000-001 a 45119-999
Vitoria da Conquista;45000-001 a 45099-999
Varzea Nova;44690-000 a 44694-999
Varzea da Roca;44635-000 a 44639-999
Varzea do Poco;44715-000 a 44717-999
Wagner;46970-000 a 46979-999
Wanderley;47940-000 a 47949-999
Wenceslau Guimaraes;45460-000 a 45464-999
Xique-Xique;47400-000 a 47439-999
Agua Fria;48170-000 a 48179-999
erico Cardoso;46180-000 a 46189-999
Abaiara;63240-000 a 63249-999
Acarape;62785-000 a 62789-999
Acarau;62580-000 a 62589-999
Acopiara;63560-000 a 63569-999
Aiuaba;63575-000 a 63579-999
Alcantaras;62120-000 a 62129-999
Altaneira;63195-000 a 63199-999
Alto Santo;62970-000 a 62979-999
Amontada;62540-000 a 62549-999
Antonina do Norte;63570-000 a 63574-999
Apuiares;62630-000 a 62639-999
Aquiraz;61700-000 a 61759-999
Aracati;62800-000 a 62809-999
Aracoiaba;62750-000 a 62754-999
Ararenda;62210-000 a 62214-999
Araripe;63170-000 a 63179-999
Aratuba;62762-000 a 62763-999
Arneiroz;63670-000 a 63679-999
Assare;63140-000 a 63144-999
Aurora;63360-000 a 63379-999
Baixio;63320-000 a 63339-999
Banabuiu;63960-000 a 63969-999
Barbalha;63180-000 a 63184-999
Barreira;62795-000 a 62799-999
Barro;63380-000 a 63399-999
Barroquinha;62410-000 a 62419-999
Baturite;62760-000 a 62761-999
Beberibe;62840-000 a 62849-999
Bela Cruz;62570-000 a 62579-999
Boa Viagem;63870-000 a 63899-999
Brejo Santo;63260-000 a 63269-999
Camocim;62400-000 a 62409-999
Campos Sales;63150-000 a 63154-999
Caninde;62700-000 a 62719-999
Capistrano;62748-000 a 62749-999
Caridade;62730-000 a 62735-999
Caririacu;63220-000 a 63229-999
Carire;62184-000 a 62189-999
Carius;63530-000 a 63539-999
Carnaubal;62375-000 a 62379-999
Cascavel;62850-000 a 62859-999
Catarina;63595-000 a 63599-999
Catunda;62297-000 a 62299-999
Caucaia;61600-001 a 61699-999
Caucaia;61600-001 a 61676-999
Cedro;63400-000 a 63429-999
Chaval;62420-000 a 62429-999
Chorozinho;62875-000 a 62879-999
Choro;63950-000 a 63959-999
Coreau;62160-000 a 62169-999
Crateus;63700-001 a 63739-999
Crateus;63700-001 a 63709-999
Crato;63100-001 a 63139-999
Crato;63100-001 a 63135-999
Croata;62390-000 a 62399-999
Cruz;62595-000 a 62597-999
Deputado Irapuan Pinheiro;63645-000 a 63649-999
Erere;63470-000 a 63474-999
Eusebio;61760-001 a 61799-999
Eusebio;61760-001 a 61779-899
Farias Brito;63185-000 a 63189-999
Forquilha;62115-000 a 62119-999
Fortaleza;60000-001 a 61599-999
Fortim;62815-000 a 62819-999
Frecheirinha;62340-000 a 62349-999
General Sampaio;62738-000 a 62739-999
Granja;62430-000 a 62449-999
Granjeiro;63230-000 a 63239-999
Graca;62365-000 a 62369-999
Groairas;62190-000 a 62199-999
Guaiuba;61890-000 a 61899-999
Guaraciaba do Norte;62380-000 a 62389-999
Guaramiranga;62766-000 a 62769-999
Hidrolandia;62270-000 a 62279-999
Horizonte;62880-001 a 62899-999
Horizonte;62880-001 a 62896-999
Ibaretama;63970-000 a 63999-999
Ibiapina;62360-000 a 62364-999
Ibicuitinga;62955-000 a 62959-999
Icapui;62810-000 a 62814-999
Ico;63430-000 a 63459-999
Iguatu;63500-001 a 63514-999
Independencia;63640-000 a 63644-999
Ipaporanga;62215-000 a 62219-999
Ipaumirim;63340-000 a 63359-999
Ipu;62250-000 a 62254-999
Ipueiras;62230-000 a 62249-999
Iracema;62980-000 a 62989-999
